,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,,,0.968508,,,,,,,,,,,,,d42a74a3-282c-4ec2-b9a6-f54f68323454,17,,"[41.9, 65.7]",3773369,0,,,,,-1.8812752,,Right Foot,,"[35.9, 47.0]",,Ground Pass,,19.638992,,,,,Frenkie de Jong,,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['ea6ece9f-ab7f-428f-918b-0c7684692734'],8,,,,,,,,,,,,,,,,Barcelona,00:00:08.062,Pass,
11,,,,,,,,,,,,,,,,,,1.8187,,,,,,,,,,,,,55d3468e-7819-4bd3-bd57-1ee1bf953eb7,20,,"[36.4, 44.6]",3773369,0,,,,,-1.2700217,,Right Foot,,"[43.1, 23.0]",,Ground Pass,,22.615261,,,,,Clément Lenglet,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Back,2,Barcelona,217,['6a8518fc-1547-472f-b886-c5507e8a89f8'],9,,,,,,,,,,,,,,,,Barcelona,00:00:09.851,Pass,
12,,,,,,,,,,,,,,,,,,1.235833,,,,,,,,,,,,,f28b0ece-99a7-4631-a389-229494f06717,23,,"[44.5, 20.1]",3773369,0,,,,,1.7506498,,Left Foot,,"[41.1, 38.8]",,Ground Pass,,19.006578,,,,,Frenkie de Jong,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['e470b62f-f9b4-408a-843e-c0fc46a9f881'],12,,,,,,,,,,,,,,,,Barcelona,00:00:12.250,Pass,
13,,,,,,,,,,,,,,,,,,0.965133,,,,,,,,,,,,,fa956353-e728-47b6-abce-375934945750,27,,"[43.3, 32.0]",3773369,0,,,,,-2.0481417,,Right Foot,,"[37.3, 20.4]",,Ground Pass,,13.059862,,,,,Clément Lenglet,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Back,2,Barcelona,217,"['9e065a31-1bee-44f2-a69e-228795d36466', 'c0ee3b70-40d5-46a1-96d5-9687c299b5c2']",14,,,,,,,,,,,,,,,,Barcelona,00:00:14.644,Pass,True
14,,,,,,,,,,,,,,,,,,2.124643,,,,,,,,,,,,,f3c00262-f211-4b4f-b218-81094283e0ca,30,,"[35.9, 20.4]",3773369,0,,,,,2.2808657,,Left Foot,,"[16.3, 43.2]",,Ground Pass,,30.066593,,,,,Marc-André ter Stegen,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['59a65618-051a-4491-844c-8a9e4c8848c6'],16,,,,,,,,,,,,,,,,Barcelona,00:00:16.088,Pass,
15,,,,,,,,,,,,,,,,,,2.020584,,,,,,,,,,,,,5978c3cb-5874-4c74-b3c4-e018975b0a1f,33,,"[19.7, 46.7]",3773369,0,,,,,0.8095314,,Right Foot,,"[48.0, 76.4]",,Low Pass,,41.02414,,,,,Sergino Dest,,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['0aca317e-0e28-473d-9207-8190796cbffc'],19,,,,,,,,,,,,,,,,Barcelona,00:00:19.464,Pass,
16,,,,,,,,,,,,,,,,,,1.569007,,,,,,,,,,,,,682ed03f-37e7-4431-89a4-e8c14988ea08,36,,"[42.5, 76.6]",3773369,0,,,,,-2.6998851,,Right Foot,,"[29.6, 70.5]",,Ground Pass,,14.269548,,,,,Óscar Mingueza García,,,,,,,1,From Kick Off,Sergino Dest,21881.0,Right Wing Back,2,Barcelona,217,['b1e4f8de-2d13-4f93-9ad8-4898ce9d2768'],23,,,,,,,,,,,,,,,,Barcelona,00:00:23.242,Pass,
17,,,,,,,,,,,,,,,,,,0.868018,,,,,,,,,,,,,a50d1bf8-1779-49f5-b3f4-8c2b2e95b15e,39,,"[29.6, 68.9]",3773369,0,,,,,-1.7967556,,Right Foot,,"[27.6, 60.2]",,Ground Pass,,8.926926,,,,,Frenkie de Jong,,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['fe14fd3c-af5a-40be-8a14-9a6b24e6bc45'],25,,,,,,,,,,,,,,,,Barcelona,00:00:25.419,Pass,
18,,,,,,,,,,,,,,,,,,1.226194,,,,,,,,,,,,,3f936e26-f291-4230-a5fa-521598d1d8b9,42,,"[41.3, 42.6]",3773369,0,,,,,-1.3742912,,Right Foot,,"[45.6, 21.0]",,Ground Pass,,22.023851,,,,,Clément Lenglet,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Back,2,Barcelona,217,['2222e21a-075b-4519-838e-e04e303a4d5f'],29,,,,,,,,,,,,,,,,Barcelona,00:00:29.535,Pass,
19,,,,,,,,,,,,,,,,,,0.763297,,,,,,,,,,,,,8973651f-f0ac-4e16-95fc-c42a49c3d083,45,,"[57.5, 14.9]",3773369,0,,,,,0.3943806,,Left Foot,,"[74.8, 22.1]",,Ground Pass,,18.738462,,,,,Ousmane Dembélé,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['5169cefa-e744-411f-b355-c7f24c93b040'],33,,,,,,,,,,,,,,,,Barcelona,00:00:33.117,Pass,
20,,,,,,,,,,,,,,,,,,1.028853,,,,,,,,,,,,,c5f0a4b7-d06a-48fa-940c-1a21b2ef637a,57,,"[71.3, 14.9]",3773369,0,,,,,3.0292852,,Left Foot,,"[58.0, 16.4]",,Ground Pass,,13.384319,,,,,Clément Lenglet,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Center Forward,2,Barcelona,217,"['47f5b125-326b-4ffb-b999-1624b836fa25', 'c5b263d2-bb56-4c66-aebc-12354a0d81c3']",37,,,,,,,,,,,,,,,,Barcelona,00:00:37.255,Pass,True
21,,,,,,,,,,,,,,,,,,1.716343,,,,,,,,,,,,,eb328771-d525-4805-9c98-3cfbd5f09f76,60,,"[58.0, 16.4]",3773369,0,,,,,2.0817459,,Left Foot,,"[50.6, 29.6]",,Ground Pass,,15.132746,,,,,Frenkie de Jong,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['4303b397-230f-4ac4-94bd-8f194bce902a'],38,,,,,,,,,,,,,,,,Barcelona,00:00:38.751,Pass,
22,,,,,,,,,,,,,,,,,,1.651988,,,,,,,,,,,,,a8586c44-8f25-4ecd-a3ea-66b2cd3be76b,63,,"[51.1, 31.3]",3773369,0,,,,,1.3932949,,Right Foot,,"[55.8, 57.5]",,Ground Pass,,26.618227,,,,,Óscar Mingueza García,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Back,2,Barcelona,217,['18aff885-4e6d-4439-b5cb-36c321c61b33'],41,,,,,,,,,,,,,,,,Barcelona,00:00:41.375,Pass,
23,,,,,,,,,,,,,,,,,,0.85735,,,,,,,,,,,,,f6254576-116a-48ff-949c-307b1ddf4340,66,,"[55.2, 58.7]",3773369,0,,,,,0.71962494,,Right Foot,,"[64.1, 66.5]",,Ground Pass,,11.834272,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['990fffc0-b99c-43ca-b310-0f0fd462929c'],43,,,,,,,,,,,,,,,,Barcelona,00:00:43.802,Pass,
24,,,,,,,,,,,,,,,,,,0.723191,,,,,,,,,,,,,044cbb16-d78a-4ad0-aee8-8e4c304bd16e,69,,"[64.7, 66.5]",3773369,0,,,,,-1.2173561,,Left Foot,,"[68.5, 56.2]",,Ground Pass,,10.978616,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['ca052665-fc22-4591-9e8d-098a2b7de3b4'],44,,,,,,,,,,,,,,,,Barcelona,00:00:44.740,Pass,
25,,,,,,,,,,,,,,,,,,1.347072,,,,,,,,,,,,,f584af0e-0ef4-4c82-892a-92d073968839,72,,"[69.5, 56.7]",3773369,0,,,,,1.6590619,,Right Foot,,"[68.5, 68.0]",,Ground Pass,,11.344161,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['f250a388-da3b-4f2a-9575-ef0f15c002d7'],46,,,,,,,,,,,,,,,,Barcelona,00:00:46.162,Pass,
26,,,,,,,,,,,,,,,,,,0.889347,,,,,,,,,,,,,09369b31-a736-4ab5-b9ef-eaedba7c4b5f,75,,"[72.5, 72.0]",3773369,0,,,,,0.4808873,,Left Foot,,"[84.0, 78.0]",,Ground Pass,,12.971122,,,,,Sergino Dest,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['b0ca376f-4045-480e-9549-25f6f2962497'],48,,,,,,,,,,,,,,,,Barcelona,00:00:48.914,Pass,
